,tree_id,lat,lon,month_planted,year_planted,season
30167,25285,37.72860754,-122.4677176,4,1996,spring
30169,15816,37.71814728,-122.4395317,4,1995,spring
30181,38586,37.7323503,-122.3898939,9,1998,fall
30185,3840,37.736689,-122.3867791,12,1998,winter
30186,90835,37.77415669,-122.4888512,2,2008,winter
30189,29302,37.7416859,-122.4564821,10,2005,fall
30192,117113,37.79570661,-122.4244156,6,2016,summer
30196,6710,37.73821034,-122.381563,10,1997,fall
30208,243475,37.73847507,-122.4153436,9,2017,fall
30220,254576,37.7466825,-122.503822,3,2018,spring
30222,5140,37.73311295,-122.434362,4,2011,spring
30224,52531,37.7234977,-122.4410595,12,2005,winter
30229,259345,37.72469883,-122.4068367,4,2019,spring
30235,42457,37.73299007,-122.4504775,6,2000,summer
30237,97700,37.80550321,-122.4225989,12,2008,winter
30240,43612,37.74527257,-122.490983,7,2000,summer
30241,5534,37.75502661,-122.4255637,3,1997,spring
30243,51347,37.77944179,-122.4793987,10,2004,fall
30246,15284,37.77252141,-122.4189622,4,1995,spring
30247,42680,37.80066971,-122.4228806,6,2000,summer
30250,87041,37.77449176,-122.4649722,12,2007,winter
30254,94042,37.71823485,-122.436373,5,2010,spring
30255,47912,37.77689407,-122.4459104,6,2002,summer
30259,29146,37.78321678,-122.4125414,8,2011,summer
30263,17104,37.77167483,-122.4482571,3,2011,spring
30266,191767,37.76731374,-122.3935454,9,2018,fall
30267,99107,37.80424313,-122.438502,11,2015,fall
30271,21973,37.75724966,-122.388064,10,2017,fall
30273,50473,37.77342287,-122.4426348,10,2003,fall
30277,91932,37.76379535,-122.4705591,2,2009,winter
30279,161285,37.72044805,-122.4314247,10,2017,fall
30280,8222,37.73969675,-122.3858405,3,2008,spring
30286,52628,37.77191074,-122.4118211,10,2006,fall
30294,52079,37.77800894,-122.4864072,10,2005,fall
30295,86580,37.74002087,-122.4841565,1,2007,winter
30296,31993,37.78569016,-122.4634671,6,1995,summer
30297,63557,37.7572645,-122.4139016,12,2011,winter
30301,28703,37.72360529,-122.4020222,4,2008,spring
30302,62300,37.77961398,-122.4547845,10,1985,fall
30310,84218,37.77601368,-122.4638457,8,2008,summer
30311,201815,37.72900668,-122.3692001,7,2017,summer
30315,90480,37.78684243,-122.4842163,3,2008,spring
30322,179518,37.71962102,-122.4083796,6,2021,summer
30323,69534,37.79157698,-122.433954,12,1997,winter
30327,100338,37.77794423,-122.4126735,8,2012,summer
30331,264862,37.75510948,-122.4689277,4,2021,spring
30339,14967,37.74092533,-122.3845763,12,1998,winter
30349,5967,37.78128987,-122.43287,2,1995,winter
